locus_id,gene,product,EC_number,extremophile
NC_011761.1,ruvB,Holliday junction ATP-dependent DNA helicase RuvB,3.6.4.12,Acidithiobacillus
NC_011761.1,ybgC,Acyl-CoA thioester hydrolase YbgC,3.1.2.-,Acidithiobacillus
NC_011761.1,exbB_1,Biopolymer transport protein ExbB,,Acidithiobacillus
NC_011761.1,exbD_1,Biopolymer transport protein ExbD,,Acidithiobacillus
NC_011761.1,rny,Ribonuclease Y,,Acidithiobacillus
NC_011761.1,tolB,Protein TolB,,Acidithiobacillus
NC_011761.1,queC,7-cyano-7-deazaguanine synthase,6.3.4.20,Acidithiobacillus
NC_011761.1,queE,7-carboxy-7-deazaguanine synthase,4.3.99.3,Acidithiobacillus
NC_011761.1,bamD_1,Outer membrane protein assembly factor BamD,,Acidithiobacillus
NC_011761.1,,Outer membrane lipoprotein Omp16 precursor,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,epsL_1,putative sugar transferase EpsL,2.-.-.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,ubiG_1,Ubiquinone biosynthesis O-methyltransferase,2.1.1.222,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,mshA_1,D-inositol 3-phosphate glycosyltransferase,2.4.1.250,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,mfpsA_1,Mannosylfructose-phosphate synthase,2.4.1.246,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,tRNA-Lys(ttt),,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,vapC_1,tRNA(fMet)-specific endonuclease VapC,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,ybaQ_1,putative HTH-type transcriptional regulator YbaQ,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,Adenosine monophosphate-protein transferase SoFic,2.7.7.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,fitB_1,Toxin FitB,3.1.-.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,bchB,Light-independent protochlorophyllide reductase subunit B,1.3.7.7,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,NADH dehydrogenase-like protein,1.6.99.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,aaeA,p-hydroxybenzoic acid efflux pump subunit AaeA,,Acidithiobacillus
NC_011761.1,lolD_1,Lipoprotein-releasing system ATP-binding protein LolD,3.6.3.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,mntH_1,Divalent metal cation transporter MntH,,Acidithiobacillus
NC_011761.1,envZ_1,Osmolarity sensor protein EnvZ,2.7.13.3,Acidithiobacillus
NC_011761.1,ompR_1,Transcriptional regulatory protein OmpR,,Acidithiobacillus
NC_011761.1,arpC,Antibiotic efflux pump outer membrane protein ArpC precursor,,Acidithiobacillus
NC_011761.1,mdtE,Multidrug resistance protein MdtE precursor,,Acidithiobacillus
NC_011761.1,acrF,Multidrug export protein AcrF,,Acidithiobacillus
NC_011761.1,bepE_1,Efflux pump membrane transporter BepE,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,aes,Acetyl esterase,3.1.1.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,hcpC_1,Putative beta-lactamase HcpC precursor,3.5.2.6,Acidithiobacillus
NC_011761.1,crp,cAMP receptor protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,2.3.1.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,plsY,putative glycerol-3-phosphate acyltransferase,2.3.1.15,Acidithiobacillus
NC_011761.1,folB,Dihydroneopterin aldolase,4.1.2.25,Acidithiobacillus
NC_011761.1,rimO_1,Ribosomal protein S12 methylthiotransferase RimO,2.-.-.-,Acidithiobacillus
NC_011761.1,nfuA_1,Fe/S biogenesis protein NfuA,,Acidithiobacillus
NC_011761.1,fabG_1,3-oxoacyl-[acyl-carrier-protein] reductase FabG,1.1.1.100,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,hemN_1,Oxygen-independent coproporphyrinogen-III oxidase,1.3.99.22,Acidithiobacillus
NC_011761.1,gltC,HTH-type transcriptional regulator GltC,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,rfaF,ADP-heptose--LPS heptosyltransferase 2,2.-.-.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,putative FAD-linked oxidoreductase,1.-.-.-,Acidithiobacillus
NC_011761.1,gmhA_1,Phosphoheptose isomerase,5.3.1.28,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,lpoA,Penicillin-binding protein activator LpoA precursor,,Acidithiobacillus
NC_011761.1,rsmI,Ribosomal RNA small subunit methyltransferase I,2.1.1.198,Acidithiobacillus
NC_011761.1,,tRNA-Phe(gaa),,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,speE_1,Spermidine synthase,2.5.1.16,Acidithiobacillus
NC_011761.1,glpE_2,Thiosulfate sulfurtransferase GlpE,2.8.1.1,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,aqpZ,Aquaporin Z,,Acidithiobacillus
NC_011761.1,pspA_1,Phosphoserine phosphatase 1,3.1.3.3,Acidithiobacillus
NC_011761.1,speE_2,Spermidine synthase,2.5.1.16,Acidithiobacillus
NC_011761.1,speH,S-adenosylmethionine decarboxylase proenzyme precursor,4.1.1.50,Acidithiobacillus
NC_011761.1,,putative ABC transporter ATP-binding protein,,Acidithiobacillus
NC_011761.1,mlaE_1,putative phospholipid ABC transporter permease protein MlaE,,Acidithiobacillus
NC_011761.1,mlaD,putative phospholipid ABC transporter-binding protein MlaD,,Acidithiobacillus
NC_011761.1,mlaC_1,putative phospholipid-binding protein MlaC precursor,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,drrA_1,Daunorubicin/doxorubicin resistance ATP-binding protein DrrA,3.6.3.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,pdxA1,4-hydroxythreonine-4-phosphate dehydrogenase 1,1.1.1.262,Acidithiobacillus
NC_011761.1,cas9_1,CRISPR-associated endonuclease Cas9,,Acidithiobacillus
NC_011761.1,rsmA_1,Ribosomal RNA small subunit methyltransferase A,2.1.1.182,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,argS,Arginine--tRNA ligase,6.1.1.19,Acidithiobacillus
NC_011761.1,emrY_1,putative multidrug resistance protein EmrY,,Acidithiobacillus
NC_011761.1,cmpR_1,HTH-type transcriptional activator CmpR,,Acidithiobacillus
NC_011761.1,prmB,50S ribosomal protein L3 glutamine methyltransferase,2.1.1.-,Acidithiobacillus
NC_011761.1,exoA,Exodeoxyribonuclease,3.1.11.2,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,rlmJ,Ribosomal RNA large subunit methyltransferase J,2.1.1.266,Acidithiobacillus
NC_011761.1,yibF,putative GST-like protein YibF,,Acidithiobacillus
NC_011761.1,xthA,Exodeoxyribonuclease III,3.1.11.2,Acidithiobacillus
NC_011761.1,hemH,Ferrochelatase,4.99.1.1,Acidithiobacillus
NC_011761.1,slyD,FKBP-type peptidyl-prolyl cis-trans isomerase SlyD,5.2.1.8,Acidithiobacillus
NC_011761.1,anmK,Anhydro-N-acetylmuramic acid kinase,2.7.1.170,Acidithiobacillus
NC_011761.1,aroE,Shikimate dehydrogenase,1.1.1.25,Acidithiobacillus
NC_011761.1,epsE,Type II secretion system protein E,,Acidithiobacillus
NC_011761.1,kinA,Sporulation kinase A,2.7.13.3,Acidithiobacillus
NC_011761.1,zraR_2,Transcriptional regulatory protein ZraR,,Acidithiobacillus
NC_011761.1,outO,Type 4 prepilin-like proteins leader peptide-processing enzyme,,Acidithiobacillus
NC_011761.1,coaE,Dephospho-CoA kinase,2.7.1.24,Acidithiobacillus
NC_011761.1,zapD,Cell division protein ZapD,,Acidithiobacillus
NC_011761.1,fbp,Fructose-1%2C6-bisphosphatase class 1,3.1.3.11,Acidithiobacillus
NC_011761.1,sspB,Stringent starvation protein B,,Acidithiobacillus
NC_011761.1,slt_1,Soluble lytic murein transglycosylase precursor,4.2.2.-,Acidithiobacillus
NC_011761.1,fis,DNA-binding protein Fis,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,prmA,Ribosomal protein L11 methyltransferase,2.1.1.-,Acidithiobacillus
NC_011761.1,accC,Biotin carboxylase,6.3.4.14,Acidithiobacillus
NC_011761.1,accB,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,,Acidithiobacillus
NC_011761.1,aroQ,3-dehydroquinate dehydratase,4.2.1.10,Acidithiobacillus
NC_011761.1,hxlR,HTH-type transcriptional activator HxlR,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,ftsZ,Cell division protein FtsZ,,Acidithiobacillus
NC_011761.1,ftsA,Cell division protein FtsA,,Acidithiobacillus
NC_011761.1,ftsQ,Cell division protein FtsQ,,Acidithiobacillus
NC_011761.1,ddl,D-alanine--D-alanine ligase,6.3.2.4,Acidithiobacillus
NC_011761.1,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,1.3.1.98,Acidithiobacillus
NC_011761.1,murC,UDP-N-acetylmuramate--L-alanine ligase,6.3.2.8,Acidithiobacillus
NC_011761.1,murG_1,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,2.4.1.227,Acidithiobacillus
NC_011761.1,ftsW,Lipid II flippase FtsW,,Acidithiobacillus
NC_011761.1,murD,UDP-N-acetylmuramoylalanine--D-glutamate ligase,6.3.2.9,Acidithiobacillus
NC_011761.1,mraY,Phospho-N-acetylmuramoyl-pentapeptide-transferase,2.7.8.13,Acidithiobacillus
NC_011761.1,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,6.3.2.10,Acidithiobacillus
NC_011761.1,murE,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase,6.3.2.13,Acidithiobacillus
NC_011761.1,ftsI_1,Peptidoglycan synthase FtsI precursor,2.4.1.129,Acidithiobacillus
NC_011761.1,ftsL,Cell division protein FtsL,,Acidithiobacillus
NC_011761.1,rsmH,Ribosomal RNA small subunit methyltransferase H,2.1.1.199,Acidithiobacillus
NC_011761.1,mraZ,Protein MraZ,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,cca,Multifunctional CCA protein,,Acidithiobacillus
NC_011761.1,,Long-chain-fatty-acid--CoA ligase FadD15,6.2.1.3,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,lpxC,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,3.5.1.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,secA,Protein translocase subunit SecA,,Acidithiobacillus
NC_011761.1,argJ,Arginine biosynthesis bifunctional protein ArgJ,,Acidithiobacillus
NC_011761.1,mutT,8-oxo-dGTP diphosphatase,3.6.1.55,Acidithiobacillus
NC_011761.1,arnC,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,2.4.2.53,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,mshA_2,D-inositol 3-phosphate glycosyltransferase,2.4.1.250,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,arnT_1,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,2.4.2.43,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,wbbL,N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase,2.4.1.289,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,rfaC,Lipopolysaccharide heptosyltransferase 1,2.-.-.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,waaA,3-deoxy-D-manno-octulosonic acid transferase,2.4.99.12,Acidithiobacillus
NC_011761.1,htrB,Lipid A biosynthesis lauroyl acyltransferase,2.3.1.-,Acidithiobacillus
NC_011761.1,patB_1,Cystathionine beta-lyase PatB,4.4.1.8,Acidithiobacillus
NC_011761.1,egtB,Iron(II)-dependent oxidoreductase EgtB,1.8.-.-,Acidithiobacillus
NC_011761.1,trmL,tRNA (cytidine(34)-2'-O)-methyltransferase,2.1.1.207,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,tRNA-Gln(ttg),,Acidithiobacillus
NC_011761.1,bioH,Pimeloyl-[acyl-carrier protein] methyl ester esterase,3.1.1.85,Acidithiobacillus
NC_011761.1,bioC_1,Malonyl-[acyl-carrier protein] O-methyltransferase,2.1.1.197,Acidithiobacillus
NC_011761.1,bioD_1,ATP-dependent dethiobiotin synthetase BioD,6.3.3.3,Acidithiobacillus
NC_011761.1,htpX_1,Protease HtpX,3.4.24.-,Acidithiobacillus
NC_011761.1,aat,Leucyl/phenylalanyl-tRNA--protein transferase,2.3.2.6,Acidithiobacillus
NC_011761.1,ate,Putative arginyl-tRNA--protein transferase,2.3.2.8,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,rnt,Ribonuclease T,3.1.13.-,Acidithiobacillus
NC_011761.1,ascD,CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase,1.17.1.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,rutR,HTH-type transcriptional regulator RutR,,Acidithiobacillus
NC_011761.1,argB,Acetylglutamate kinase,2.7.2.8,Acidithiobacillus
NC_011761.1,emrA_1,Multidrug export protein EmrA,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,bioB_1,Biotin synthase,2.8.1.6,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,proC,Pyrroline-5-carboxylate reductase,1.5.1.2,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,pilT_1,Twitching mobility protein,,Acidithiobacillus
NC_011761.1,pilT_2,Twitching mobility protein,,Acidithiobacillus
NC_011761.1,crtQ,4%2C4'-diaponeurosporenoate glycosyltransferase,2.4.1.-,Acidithiobacillus
NC_011761.1,,NADH dehydrogenase-like protein,1.6.99.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,blh_1,Beta-lactamase hydrolase-like protein,3.-.-.-,Acidithiobacillus
NC_011761.1,fixK,Nitrogen fixation regulation protein FixK,,Acidithiobacillus
NC_011761.1,trmB,tRNA (guanine-N(7)-)-methyltransferase,2.1.1.33,Acidithiobacillus
NC_011761.1,purE,N5-carboxyaminoimidazole ribonucleotide mutase,5.4.99.18,Acidithiobacillus
NC_011761.1,purK,N5-carboxyaminoimidazole ribonucleotide synthase,6.3.4.18,Acidithiobacillus
NC_011761.1,dsbB_1,Disulfide bond formation protein B,,Acidithiobacillus
NC_011761.1,dsbG_1,Thiol:disulfide interchange protein DsbG precursor,,Acidithiobacillus
NC_011761.1,arnT_2,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,2.4.2.43,Acidithiobacillus
NC_011761.1,smpB,SsrA-binding protein,,Acidithiobacillus
NC_011761.1,clsA,Major cardiolipin synthase ClsA,2.7.8.-,Acidithiobacillus
NC_011761.1,ratA,Ribosome association toxin RatA,,Acidithiobacillus
NC_011761.1,bamE,Outer membrane protein assembly factor BamE precursor,,Acidithiobacillus
NC_011761.1,fur,Ferric uptake regulation protein,,Acidithiobacillus
NC_011761.1,proB_1,Glutamate 5-kinase,2.7.2.11,Acidithiobacillus
NC_011761.1,obg,GTPase Obg,,Acidithiobacillus
NC_011761.1,rpmA,50S ribosomal protein L27,,Acidithiobacillus
NC_011761.1,rplU,50S ribosomal protein L21,,Acidithiobacillus
NC_011761.1,bicA,Bicarbonate transporter BicA,,Acidithiobacillus
NC_011761.1,icfA,Carbonic anhydrase,4.2.1.1,Acidithiobacillus
NC_011761.1,metE,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,2.1.1.14,Acidithiobacillus
NC_011761.1,ubiE_1,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,2.1.1.163,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,metX,Homoserine O-acetyltransferase,2.3.1.31,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,glyA2,Serine hydroxymethyltransferase 2,2.1.2.1,Acidithiobacillus
NC_011761.1,nrdR,Transcriptional repressor NrdR,,Acidithiobacillus
NC_011761.1,ribD,Riboflavin biosynthesis protein RibD,,Acidithiobacillus
NC_011761.1,ribE,Riboflavin synthase,2.5.1.9,Acidithiobacillus
NC_011761.1,ribBA,Riboflavin biosynthesis protein RibBA,,Acidithiobacillus
NC_011761.1,ribH,6%2C7-dimethyl-8-ribityllumazine synthase,2.5.1.78,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,podJ,Localization factor PodJL,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,ubiB,putative protein kinase UbiB,2.7.-.-,Acidithiobacillus
NC_011761.1,arfA_1,Peptidoglycan-binding protein ArfA,,Acidithiobacillus
NC_011761.1,,tRNA-Tyr(gta),,Acidithiobacillus
NC_011761.1,,tRNA-Gly(tcc),,Acidithiobacillus
NC_011761.1,,tRNA-Thr(ggt),,Acidithiobacillus
NC_011761.1,tufA_1,Elongation factor Tu,,Acidithiobacillus
NC_011761.1,,tRNA-Trp(cca),,Acidithiobacillus
NC_011761.1,secE,Protein translocase subunit SecE,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,rplK,50S ribosomal protein L11,,Acidithiobacillus
NC_011761.1,rplA,50S ribosomal protein L1,,Acidithiobacillus
NC_011761.1,rplJ,50S ribosomal protein L10,,Acidithiobacillus
NC_011761.1,rplL,50S ribosomal protein L7/L12,,Acidithiobacillus
NC_011761.1,rpoB,DNA-directed RNA polymerase subunit beta,2.7.7.6,Acidithiobacillus
NC_011761.1,rpoC,DNA-directed RNA polymerase subunit beta',2.7.7.6,Acidithiobacillus
NC_011761.1,rpsL,30S ribosomal protein S12,,Acidithiobacillus
NC_011761.1,rpsG,30S ribosomal protein S7,,Acidithiobacillus
NC_011761.1,fusA,Elongation factor G 1,,Acidithiobacillus
NC_011761.1,tufA_2,Elongation factor Tu,,Acidithiobacillus
NC_011761.1,rpsJ,30S ribosomal protein S10,,Acidithiobacillus
NC_011761.1,rplC,50S ribosomal protein L3,,Acidithiobacillus
NC_011761.1,rplD,50S ribosomal protein L4,,Acidithiobacillus
NC_011761.1,rplW,50S ribosomal protein L23,,Acidithiobacillus
NC_011761.1,rplB,50S ribosomal protein L2,,Acidithiobacillus
NC_011761.1,rpsS,30S ribosomal protein S19,,Acidithiobacillus
NC_011761.1,rplV,50S ribosomal protein L22,,Acidithiobacillus
NC_011761.1,rpsC,30S ribosomal protein S3,,Acidithiobacillus
NC_011761.1,rplP,50S ribosomal protein L16,,Acidithiobacillus
NC_011761.1,rpmC,50S ribosomal protein L29,,Acidithiobacillus
NC_011761.1,rpsQ,30S ribosomal protein S17,,Acidithiobacillus
NC_011761.1,rplN,50S ribosomal protein L14,,Acidithiobacillus
NC_011761.1,rplX,50S ribosomal protein L24,,Acidithiobacillus
NC_011761.1,rplE,50S ribosomal protein L5,,Acidithiobacillus
NC_011761.1,rpsH,30S ribosomal protein S8,,Acidithiobacillus
NC_011761.1,rplF,50S ribosomal protein L6,,Acidithiobacillus
NC_011761.1,rplR,50S ribosomal protein L18,,Acidithiobacillus
NC_011761.1,rpsE,30S ribosomal protein S5,,Acidithiobacillus
NC_011761.1,rpmD,50S ribosomal protein L30,,Acidithiobacillus
NC_011761.1,rplO,50S ribosomal protein L15,,Acidithiobacillus
NC_011761.1,secY,Protein translocase subunit SecY,,Acidithiobacillus
NC_011761.1,adk,Adenylate kinase,2.7.4.3,Acidithiobacillus
NC_011761.1,infA,Translation initiation factor IF-1,,Acidithiobacillus
NC_011761.1,rpsM,30S ribosomal protein S13,,Acidithiobacillus
NC_011761.1,rpsK,30S ribosomal protein S11,,Acidithiobacillus
NC_011761.1,rpsD,30S ribosomal protein S4,,Acidithiobacillus
NC_011761.1,rpoA,DNA-directed RNA polymerase subunit alpha,2.7.7.6,Acidithiobacillus
NC_011761.1,rplQ,50S ribosomal protein L17,,Acidithiobacillus
NC_011761.1,dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase,3.6.1.23,Acidithiobacillus
NC_011761.1,coaBC,Coenzyme A biosynthesis bifunctional protein CoaBC,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,dgkA,Diacylglycerol kinase,2.7.1.107,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
